v1
v2
v3
v4
v6
v7
v8
v9
v10
v11
v12
v13
v14
v15
v16
v17
v18
v19
v20
v21
v22
v23
#rails#
e1,v1,v3,157|
e10,v21,v23,236|
e11,v22,v19,523|
e12,v7,v3,73|
e13,v7,v4,85|
e14,v6,v4,80|
e16,v8,v9,34|
e17,v8,v10,41|
e18,v11,v13,34|
e19,v12,v13,40|
e2,v2,v4,100|
e20,v14,v15,38|
e21,v14,v16,41|
e22,v17,v19,36|
e23,v18,v19,40|
e24,v21,v20,33|
e25,v20,v22,60|
e3,v6,v8,20|
e4,v9,v11,280|o3,30,v11
e5,v10,v12,259|o2,120,v10
e6,v7,v18,727|
e7,v14,v13,40|
e8,v20,v15,139|
e9,v16,v17,302|
#crossing#
v21,v20,v22
v15,v14,v16
v17,v19,v18
v11,v13,v12
v9,v8,v10
v7,v4,v6
v3,v7,v4
